    IMT        c1i        vlin           b          a1          a2          a6          a7          a8         a10         a11         a12         a13         a14         a16         a17         a18         a19         a20         a21         a22         a23         a24         a25         a26         a27         a28         a29         a30         a31         a32         a33         a34         a35         a36         a37         a39         a41  USA-AK_Adj     CAS_Adj          d1          d2        rhoW        rhoB  phi_s2s_g1  phi_s2s_g2  phi_s2s_g3          e1          e2          e3
  0.400   8.200000  503.000000   -2.657000    3.624000   -1.165000   -0.004000    3.210000    0.040000    3.210000    0.004300    2.258591   -0.007000   -0.470000    0.075000    0.000000   -0.100000    0.000000   -0.150000    0.170000    0.170000    0.206000    0.001500   -0.001000    0.001300   -0.000700    0.001100    0.000000    0.003000    3.249300    3.325600    3.570200    4.289600    4.366000    4.378900    3.370400    0.315000    0.040000    0.625000    0.768000    0.325000    0.137000    0.740000    0.860000    0.396000    0.468000    0.468000    0.425000   -0.126000    0.028000
  0.500   8.200000  456.600000   -2.669000    3.338000   -1.115000   -0.003700    3.210000    0.039000    3.210000    0.003700    2.381248   -0.011000   -0.480000    0.072000    0.000000   -0.080000    0.000000   -0.150000    0.170000    0.170000    0.220000    0.001500   -0.001100    0.000900   -0.000700    0.000800    0.000200    0.002700    2.981800    3.133400    3.355200    3.932200    4.077900    4.039400    3.156400    0.416000    0.097000    0.634000    0.728000    0.325000    0.137000    0.660000    0.800000    0.396000    0.451000    0.451000    0.375000   -0.079000    0.022000
  0.750   8.150000  410.500000   -2.401000    2.652000   -1.020000   -0.003200    3.210000    0.037000    3.210000    0.002700    1.901219   -0.021000   -0.500000    0.067000    0.000000   -0.047000    0.000000   -0.150000    0.170000    0.170000    0.217000    0.001400   -0.001100    0.000300   -0.000700    0.000400    0.000200    0.002200    2.478000    2.538000    2.657200    3.178500    3.439100    3.293000    2.655600    0.600000    0.197000    0.497000    0.685000    0.325000    0.137000    0.500000    0.730000    0.396000    0.420000    0.420000    0.300000    0.005000    0.009000
  1.000   8.100000  400.000000   -1.955000    2.044000   -0.950000   -0.002900    3.210000    0.035000    3.210000    0.001900    1.302589   -0.028000   -0.510000    0.063000    0.000000   -0.035000    0.000000   -0.150000    0.170000    0.170000    0.185000    0.001300   -0.000800    0.000100   -0.000800    0.000200    0.000100    0.001900    1.925200    1.962600    2.145900    2.572200    2.805600    2.647500    2.066700    0.731000    0.269000    0.469000    0.642000    0.325000    0.137000    0.410000    0.690000    0.396000    0.396000    0.396000    0.240000    0.065000    0.000000
  1.500   8.050000  400.000000   -1.025000    1.136000   -0.860000   -0.002600    3.210000    0.034000    3.210000    0.000800    0.276057   -0.041000   -0.520000    0.059000    0.000000   -0.018000    0.000000   -0.130000    0.170000    0.170000    0.083000    0.001400   -0.000400   -0.000100   -0.000800    0.000100    0.000000    0.001600    0.992400    1.356800    1.349900    1.649900    1.854600    1.684200    1.331600    0.748000    0.347000    0.509000    0.325000    0.312000    0.113000    0.330000    0.620000    0.379000    0.379000    0.379000    0.230000    0.065000    0.000000
  2.000   8.000000  400.000000   -0.299000    0.576000   -0.820000   -0.002400    3.210000    0.032000    3.210000    0.000000   -0.424635   -0.050000   -0.530000    0.059000    0.000000   -0.010000    0.000000   -0.110000    0.170000    0.170000    0.045000    0.001500    0.000200    0.000000   -0.000700    0.000200    0.000000    0.001400    0.467600    0.818000    0.814800    1.065800    1.302000    1.100200    0.760700    0.761000    0.384000    0.478000    0.257000    0.302000    0.096000    0.300000    0.560000    0.366000    0.366000    0.366000    0.230000    0.065000    0.000000
  3.000   7.900000  400.000000    0.000000   -0.076000   -0.793000   -0.002100    3.130000    0.030000    3.130000    0.000000   -0.344703   -0.065000   -0.540000    0.059000    0.000000    0.000000    0.000000   -0.085000    0.170000    0.170000    0.035000    0.001400    0.000700    0.000300   -0.000700    0.000400   -0.000200    0.001100   -0.139100    0.104600    0.104600    0.388200    0.595800    0.412600    0.168800    0.778000    0.404000    0.470000    0.296000    0.289000    0.072000    0.250000    0.495000    0.348000    0.348000    0.348000    0.240000    0.065000    0.000000
  4.000   7.850000  400.000000    0.000000   -0.407000   -0.793000   -0.002000    2.985000    0.029000    2.985000    0.000000   -0.243712   -0.077000   -0.540000    0.050000    0.000000    0.000000    0.000000   -0.073000    0.170000    0.170000    0.053000    0.001400    0.001000    0.000700   -0.000600    0.000600   -0.000200    0.001000   -0.303000   -0.159700   -0.232400    0.016400    0.352200    0.009700   -0.032300    0.790000    0.397000    0.336000    0.232000    0.280000    0.055000    0.220000    0.430000    0.335000    0.335000    0.335000    0.270000    0.065000    0.000000
  5.000   7.800000  400.000000    0.000000   -0.398207   -0.793000   -0.002000    2.818000    0.028000    2.818000    0.000000   -0.270246   -0.088000   -0.540000    0.043000    0.000000    0.000000    0.000000   -0.065000    0.170000    0.170000    0.072000    0.001400    0.001300    0.001400   -0.000400    0.000800   -0.000100    0.001000   -0.409400   -0.206300   -0.572200   -0.280200    0.187400   -0.271500   -0.151600    0.799000    0.378000    0.228000    0.034000    0.273000    0.041000    0.190000    0.400000    0.324000    0.324000    0.324000    0.300000    0.065000    0.000000
  7.500   7.800000  400.000000    0.000000   -0.256000   -0.793000   -0.002000    2.515000    0.026000    2.515000    0.000000   -0.215032   -0.110000   -0.540000    0.032000    0.000000    0.000000    0.000000   -0.055000    0.170000    0.170000    0.115000    0.001400    0.001700    0.001500   -0.000200    0.001400    0.000100    0.001000   -0.620900   -0.422300   -1.177300   -0.756600   -0.331600   -0.682200   -0.333800    0.817000    0.333000    0.051000   -0.178000    0.259000    0.017000    0.140000    0.320000    0.301000    0.301000    0.301000    0.350000    0.065000    0.000000
 10.000   7.800000  400.000000    0.000000   -0.560000   -0.793000   -0.002000    2.300000    0.025000    2.300000    0.000000    0.343325   -0.127000   -0.540000    0.024000    0.000000    0.000000    0.000000   -0.045000    0.170000    0.170000    0.151000    0.001400    0.001700    0.001500   -0.000100    0.001700    0.000200    0.001000   -0.622100   -0.590900   -1.407000   -1.087000   -0.678300   -0.917300   -0.544100    0.829000    0.281000   -0.251000   -0.313000    0.250000    0.000000    0.100000    0.280000    0.286000    0.286000    0.286000    0.350000    0.065000    0.000000
