    IMT        c1i          a1          a2          a6          a7          a8         a10         a11         a12         a13         a14         a16         a17         a18         a19         a20         a21         a22         a23         a24         a25         a26         a27         a28         a29         a30         a31         a32         a33         a34         a35         a36         a37         a39         a41          d1          d2        rhoW        rhoB        vlin           b  USA-AK_Adj     CAS_Adj  phi_s2s_g1  phi_s2s_g2  phi_s2s_g3          e1          e2          e3
  0.400   8.200000    3.692345   -1.165000   -0.004000    3.210000    0.040000    3.210000    0.004300    2.281137   -0.007000   -0.470000    0.074630    0.000000   -0.100000    0.000000   -0.150000    0.170000    0.170000    0.206000    0.001500   -0.001000    0.001300   -0.000700    0.001100    0.000000    0.003000    3.249330    3.325560    3.570160    4.289590    4.365970    4.378900    3.370390    0.315000    0.040000    0.325000    0.137000    0.740000    0.860000  503.000000   -2.657000    0.625094    0.767876    0.396000    0.468000    0.468000    0.425000   -0.126000    0.028000
  0.500   8.200000    3.391024   -1.115000   -0.003700    3.210000    0.039000    3.210000    0.003700    2.365186   -0.011000   -0.480000    0.072130    0.000000   -0.080000    0.000000   -0.150000    0.170000    0.170000    0.220000    0.001500   -0.001100    0.000900   -0.000700    0.000800    0.000200    0.002700    2.981780    3.133430    3.355160    3.932150    4.077910    4.039370    3.156410    0.416000    0.097000    0.325000    0.137000    0.660000    0.800000  456.600000   -2.669000    0.634353    0.727687    0.396000    0.451000    0.451000    0.375000   -0.079000    0.022000
  0.750   8.150000    2.682906   -1.020000   -0.003200    3.210000    0.037000    3.210000    0.002700    1.875055   -0.021000   -0.500000    0.067130    0.000000   -0.047000    0.000000   -0.150000    0.170000    0.170000    0.217000    0.001400   -0.001100    0.000300   -0.000700    0.000400    0.000200    0.002200    2.477990    2.538040    2.657180    3.178520    3.439100    3.292990    2.655640    0.600000    0.197000    0.325000    0.137000    0.500000    0.730000  410.500000   -2.401000    0.498170    0.686168    0.396000    0.420000    0.420000    0.300000    0.005000    0.009000
  1.000   8.100000    2.057081   -0.950000   -0.002900    3.210000    0.035000    3.210000    0.001900    1.291398   -0.028000   -0.510000    0.063250    0.000000   -0.035000    0.000000   -0.150000    0.170000    0.170000    0.185000    0.001300   -0.000800    0.000100   -0.000800    0.000200    0.000100    0.001900    1.925180    1.962560    2.145850    2.572180    2.805550    2.647510    2.066650    0.731000    0.269000    0.325000    0.137000    0.410000    0.690000  400.000000   -1.955000    0.458180    0.630800    0.396000    0.396000    0.396000    0.240000    0.065000    0.000000
  1.500   8.050000    1.141810   -0.860000   -0.002600    3.210000    0.034000    3.210000    0.000800    0.264917   -0.041000   -0.520000    0.058870    0.000000   -0.018000    0.000000   -0.130000    0.170000    0.170000    0.083000    0.001400   -0.000400   -0.000100   -0.000800    0.000100    0.000000    0.001600    0.992420    1.356790    1.349900    1.649930    1.854630    1.684170    1.331570    0.748000    0.347000    0.312000    0.113000    0.330000    0.620000  400.000000   -1.025000    0.499461    0.315091    0.379000    0.379000    0.379000    0.230000    0.065000    0.000000
  2.000   8.000000    0.579113   -0.820000   -0.002400    3.210000    0.032000    3.210000    0.000000   -0.427391   -0.050000   -0.530000    0.058750    0.000000   -0.010000    0.000000   -0.110000    0.170000    0.170000    0.045000    0.001500    0.000200    0.000000   -0.000700    0.000200    0.000000    0.001400    0.467630    0.818010    0.814780    1.065750    1.302030    1.100190    0.760660    0.761000    0.384000    0.302000    0.096000    0.300000    0.560000  400.000000   -0.299000    0.477697    0.257317    0.366000    0.366000    0.366000    0.230000    0.065000    0.000000
  3.000   7.900000   -0.073568   -0.793000   -0.002100    3.130000    0.030000    3.130000    0.000000   -0.327616   -0.065000   -0.540000    0.059120    0.000000    0.000000    0.000000   -0.085000    0.170000    0.170000    0.035000    0.001400    0.000700    0.000300   -0.000700    0.000400   -0.000200    0.001100   -0.139130    0.104550    0.104600    0.388180    0.595790    0.412620    0.168820    0.778000    0.404000    0.289000    0.072000    0.250000    0.495000  400.000000    0.000000    0.451436    0.277756    0.348000    0.348000    0.348000    0.240000    0.065000    0.000000
  4.000   7.850000   -0.395306   -0.793000   -0.002000    2.985000    0.029000    2.985000    0.000000   -0.232741   -0.077000   -0.540000    0.050370    0.000000    0.000000    0.000000   -0.073000    0.170000    0.170000    0.053000    0.001400    0.001000    0.000700   -0.000600    0.000600   -0.000150    0.001000   -0.302960   -0.159720   -0.232420    0.016440    0.352220    0.009700   -0.032310    0.790000    0.397000    0.280000    0.055000    0.220000    0.430000  400.000000    0.000000    0.322365    0.219125    0.335000    0.335000    0.335000    0.270000    0.065000    0.000000
  5.000   7.800000   -0.401691   -0.793000   -0.002000    2.818000    0.028000    2.818000    0.000000   -0.246359   -0.088000   -0.540000    0.042870    0.000000    0.000000    0.000000   -0.065000    0.170000    0.170000    0.072000    0.001400    0.001300    0.001400   -0.000400    0.000800   -0.000050    0.001000   -0.409390   -0.206260   -0.572230   -0.280230    0.187430   -0.271520   -0.151580    0.799000    0.378000    0.273000    0.041000    0.190000    0.400000  400.000000    0.000000    0.193767    0.000637    0.324000    0.324000    0.324000    0.300000    0.065000    0.000000
  7.500   7.800000   -0.213756   -0.793000   -0.002000    2.515000    0.026000    2.515000    0.000000   -0.252079   -0.110000   -0.540000    0.031620    0.000000    0.000000    0.000000   -0.055000    0.170000    0.170000    0.115000    0.001400    0.001700    0.001500   -0.000200    0.001400    0.000100    0.001000   -0.620910   -0.422310   -1.177310   -0.756610   -0.331630   -0.682150   -0.333810    0.817000    0.333000    0.259000    0.017000    0.140000    0.320000  400.000000    0.000000    0.051240   -0.177360    0.301000    0.301000    0.301000    0.350000    0.065000    0.000000
 10.000   7.800000   -0.457705   -0.793000   -0.002000    2.300000    0.025000    2.300000    0.000000    0.218265   -0.127000   -0.540000    0.024130    0.000000    0.000000    0.000000   -0.045000    0.170000    0.170000    0.151000    0.001400    0.001700    0.001500   -0.000100    0.001700    0.000200    0.001000   -0.622080   -0.590850   -1.407010   -1.087040   -0.678340   -0.917340   -0.544080    0.829000    0.281000    0.250000    0.000000    0.100000    0.280000  400.000000    0.000000   -0.190318   -0.251548    0.286000    0.286000    0.286000    0.350000    0.065000    0.000000
