    IMT         m1        vlin           b           c          c4          a1          a2          a3          a4          a5          a6          a7          a8         a10         a11         a12         a13         a14         a15         a17         a43         a44         a45         a46         a25         a28         a29         a31         a36         a37         a38         a39         a40         a41         a42         s1e         s2e          s3          s4         s1m         s2m          s5          s6
  0.500   6.750000  340.000000   -3.600000    2.400000    4.500000    1.071000   -0.790000    0.275000   -0.100000   -0.410000    2.559000    0.000000   -0.065000    4.412752    0.000000   -0.100000    0.560000   -0.040000    0.840000   -0.003200    0.100000    0.100000    0.100000    0.090000   -0.002000    0.000800   -0.005000    0.154200    0.310000    0.252000    0.134000    0.000000    0.160000   -0.159000   -0.029000    0.676000    0.600000    0.470000    0.360000    0.616000    0.532000    0.690000    0.700000
  0.750   6.750000  330.000000   -3.800000    2.400000    4.500000    0.799000   -0.790000    0.275000   -0.100000   -0.410000    2.682000    0.000000   -0.095000    4.768040    0.000000   -0.100000    0.530000    0.070000    0.680000   -0.002500    0.140000    0.140000    0.140000    0.130000   -0.001000    0.000700   -0.004100    0.078700    0.505000    0.208000    0.129000    0.000000    0.158000   -0.141000    0.061000    0.631000    0.615000    0.470000    0.360000    0.566000    0.548000    0.730000    0.690000
  1.000   6.750000  330.000000   -3.500000    2.400000    4.500000    0.543000   -0.790000    0.275000   -0.100000   -0.410000    2.763000    0.000000   -0.110000    4.331517    0.000000   -0.100000    0.500000    0.150000    0.570000   -0.002500    0.170000    0.170000    0.170000    0.140000   -0.000500    0.000700   -0.003200    0.047600    0.358000    0.208000    0.152000    0.000000    0.145000   -0.144000    0.062000    0.609000    0.630000    0.470000    0.360000    0.541000    0.565000    0.770000    0.680000
  1.500   6.750000  330.000000   -2.400000    2.400000    4.500000    0.165000   -0.790000    0.275000   -0.100000   -0.410000    2.836000    0.000000   -0.124000    2.479131    0.000000   -0.100000    0.420000    0.270000    0.420000   -0.002200    0.220000    0.210000    0.200000    0.160000   -0.000400    0.000600   -0.002000   -0.016300    0.131000    0.108000    0.118000    0.000000    0.131000   -0.126000    0.037000    0.578000    0.640000    0.470000    0.360000    0.506000    0.576000    0.800000    0.660000
  2.000   6.750000  330.000000   -1.000000    2.400000    4.500000   -0.171000   -0.790000    0.275000   -0.100000   -0.410000    2.897000    0.000000   -0.138000    0.365008    0.000000   -0.100000    0.350000    0.350000    0.310000   -0.001900    0.260000    0.250000    0.220000    0.160000   -0.000200    0.000300   -0.001700   -0.120300    0.123000    0.068000    0.119000    0.000000    0.083000   -0.075000   -0.143000    0.555000    0.650000    0.470000    0.360000    0.480000    0.587000    0.800000    0.620000
  3.000   6.820000  330.000000    0.000000    2.400000    4.500000   -0.560000   -0.790000    0.275000   -0.100000   -0.410000    2.906000    0.000000   -0.172000   -0.894815    0.000000   -0.100000    0.200000    0.460000    0.160000   -0.001500    0.340000    0.300000    0.230000    0.160000    0.000000    0.000000   -0.002000   -0.271900    0.109000   -0.023000    0.093000    0.000000    0.070000   -0.021000   -0.028000    0.548000    0.640000    0.470000    0.360000    0.472000    0.576000    0.800000    0.550000
  4.000   6.920000  330.000000    0.000000    2.400000    4.500000   -0.799000   -0.790000    0.275000   -0.100000   -0.410000    2.889000    0.000000   -0.197000   -0.755205    0.000000   -0.100000    0.000000    0.540000    0.050000   -0.001000    0.410000    0.320000    0.230000    0.140000    0.000000    0.000000   -0.002000   -0.295800    0.135000    0.028000    0.084000    0.000000    0.101000    0.072000   -0.097000    0.527000    0.630000    0.470000    0.360000    0.447000    0.565000    0.760000    0.520000
  5.000   7.000000  330.000000    0.000000    2.400000    4.500000   -1.062000   -0.765000    0.275000   -0.100000   -0.410000    2.898000    0.000000   -0.218000   -0.531462    0.000000   -0.100000    0.000000    0.610000   -0.040000   -0.001000    0.510000    0.320000    0.220000    0.130000    0.000000    0.000000   -0.002000   -0.271800    0.189000    0.031000    0.058000    0.000000    0.095000    0.205000    0.015000    0.505000    0.630000    0.470000    0.360000    0.425000    0.568000    0.720000    0.500000
  7.500   7.150000  330.000000    0.000000    2.400000    4.500000   -1.731594   -0.634000    0.275000   -0.100000   -0.410000    2.870000    0.000000   -0.255000   -0.329845    0.000000   -0.200000    0.000000    0.720000   -0.190000   -0.001000    0.490000    0.280000    0.170000    0.090000    0.000000    0.000000   -0.002000   -0.140000    0.150000   -0.070000    0.000000    0.000000    0.151000    0.329000    0.299000    0.457000    0.630000    0.470000    0.360000    0.378000    0.575000    0.670000    0.500000
 10.000   7.250000  330.000000    0.000000    2.400000    4.500000   -2.187496   -0.529000    0.275000   -0.100000   -0.410000    2.843000    0.000000   -0.285000   -0.282438    0.000000   -0.200000    0.000000    0.800000   -0.300000   -0.001000    0.420000    0.220000    0.140000    0.080000    0.000000    0.000000   -0.002000   -0.021600    0.092000   -0.159000   -0.050000    0.000000    0.124000    0.301000    0.243000    0.429000    0.630000    0.470000    0.360000    0.359000    0.585000    0.640000    0.500000
